PRIMARY_KEY,DATE,TIME,CONFIDENCE,IDENTITY,CLASSIFIED
"56893","2021-09-21","08:08:50","0.960312","94","0",\N
"150163","2021-10-29","10:15:55","0.954751","1145","0",\N
"155403","2021-12-03","15:14:55","0.974895","1651","0",\N
"32610","2021-08-30","07:37:54","0.977403","97","0",\N
"35339","2021-08-30","16:33:49","0.995973","199","0",\N
"139611","2021-10-25","09:22:16","0.931337","1066","0",\N
"117476","2021-10-14","13:00:17","0.994966","941","0",\N
"117296","2021-10-14","12:54:57","0.994273","912","0",\N
"36629","2021-09-01","09:09:58","0.975574","97","0",\N
"155059","2021-12-03","08:35:11","0.900437","226","0",\N
"23709","2021-08-26","10:23:20","0.924079","1688","0",\N
"66535","2021-09-21","11:47:52","0.935575","1704","0",\N
"42128","2021-09-01","13:43:07","0.948902","2469","0",\N
"18919","2021-08-26","08:19:38","0.930767","133","0",\N
"56130","2021-09-21","07:58:54","0.997553","18","0",\N
"90942","2021-10-05","12:38:05","0.933741","800","0",\N
"50259","2021-09-18","16:31:57","0.985097","676","0",\N
"60992","2021-09-21","09:48:32","0.978328","521","0",\N
"46487","2021-09-10","13:23:18","0.962402","1006","0",\N
"132353","2021-10-22","12:40:37","0.950948","667","0",\N
"45722","2021-09-10","10:30:26","0.949988","535","0",\N
"144158","2021-10-25","11:29:29","0.911464","3297","0",\N
"144917","2021-10-25","11:58:05","0.972606","3551","0",\N
"108408","2021-10-13","09:13:23","0.917144","25","0",\N
"151145","2021-11-02","11:20:32","0.900708","120","0",\N
"155381","2021-12-03","15:14:36","0.980734","1644","0",\N
"122820","2021-10-15","13:17:57","0.946354","42","0",\N
"36944","2021-09-01","09:19:31","0.937522","201","0",\N
"113295","2021-10-13","17:12:16","0.917617","400","0",\N
"23619","2021-08-26","10:21:18","0.973798","1688","0",\N
"116838","2021-10-14","12:22:03","0.988163","793","0",\N
"100780","2021-10-06","12:45:53","0.970742","1737","0",\N
"86146","2021-10-03","16:14:56","0.940441","937","0",\N
"15557","2021-08-24","18:29:38","0.981309","615","0",\N
"2391","2021-08-24","07:43:20","0.970748","92","0",\N
"92939","2021-10-05","14:44:02","0.978289","1205","0",\N
