PRIMARY_KEY,DATE,TIME,CONFIDENCE,IDENTITY,CLASSIFIED,SPECIES
"33175","2021-08-30","08:20:09","0.947755","279","1","Mourning Dove"
"30154","2021-08-29","15:02:32","0.973363","882","1","Mourning Dove"
"8459","2021-08-24","09:14:55","0.974291","781","1","Ruby-throated Hummingbird"
"18297","2021-08-26","08:10:38","0.970911","280","1","Eastern Bluebird"
"31357","2021-08-29","17:32:02","0.996039","1769","1","Mourning Dove"
"8937","2021-08-24","09:18:38","0.930999","1019","1","White-breasted Nuthatch"
"29977","2021-08-29","15:00:58","0.9747","882","1","Mourning Dove"
"9911","2021-08-24","09:30:22","0.966525","1185","1","Ruby-throated Hummingbird"
"10530","2021-08-24","09:38:41","0.938386","1236","1","Mourning Dove"
"11551","2021-08-24","10:00:35","0.989903","1408","1","Ruby-throated Hummingbird"
"21041","2021-08-26","08:59:53","0.909987","888","1","Eastern Bluebird"
"12830","2021-08-24","10:21:04","0.969417","1663","1","Ruby-throated Hummingbird"
"26579","2021-08-29","12:19:09","0.988358","209","1","Mourning Dove"
"26687","2021-08-29","12:20:59","0.901461","205","1","House Sparrow (female)"
"33030","2021-08-30","07:47:17","0.930967","126","1","Ruby-throated Hummingbird"
"5632","2021-08-24","08:33:12","0.907611","302","1","White-breasted Nuthatch"
"18869","2021-08-26","08:19:05","0.973351","133","1","Ruby-throated Hummingbird"
"14596","2021-08-24","17:49:18","0.961374","198","1","Mourning Dove"
"6409","2021-08-24","08:52:27","0.994136","650","1","Mourning Dove"
"13101","2021-08-24","10:23:54","0.976832","1667","1","Ruby-throated Hummingbird"
"26811","2021-08-29","12:23:39","0.935992","259","1","Song Sparrow"
"34374","2021-08-30","09:08:58","0.962011","818","1","House Finch (female)"
"4252","2021-08-24","08:16:15","0.918905","106","1","House Sparrow (female)"
"2798","2021-08-24","07:47:40","0.992952","108","1","House Sparrow (female)"
"35335","2021-08-30","16:33:48","0.989255","202","1","Mourning Dove"
"24767","2021-08-28","17:34:29","0.936377","202","1","House Sparrow (female)"
"5708","2021-08-24","08:34:25","0.997245","302","1","Carolina Chickadee"
"11912","2021-08-24","10:05:31","0.976785","1408","1","Ruby-throated Hummingbird"
"14236","2021-08-24","11:15:46","0.905042","2159","1","Ruby-throated Hummingbird"
"20932","2021-08-26","08:57:47","0.944235","850","1","Ruby-throated Hummingbird"
"13054","2021-08-24","10:23:01","0.908553","1727","1","House Sparrow (male)"
"10345","2021-08-24","09:35:06","0.967402","1181","1","House Sparrow (male)"
"4313","2021-08-24","08:16:59","0.924159","37","1","House Sparrow (female)"
"21439","2021-08-26","09:09:53","0.979285","1075","1","House Sparrow (female)"
"11439","2021-08-24","09:59:42","0.938908","1461","1","Mourning Dove"
"14356","2021-08-24","11:17:34","0.969537","2126","1","Mourning Dove"
"12255","2021-08-24","10:09:08","0.961151","1584","1","Mourning Dove"
"22345","2021-08-26","09:50:28","0.99542","1298","1","Ruby-throated Hummingbird"
"34752","2021-08-30","09:41:38","0.986943","1157","1","House Sparrow (female)"
"19972","2021-08-26","08:41:24","0.977916","595","1","House Sparrow (female)"
"17761","2021-08-26","07:57:14","0.974174","111","1","House Sparrow (female)"
"25828","2021-08-28","18:55:10","0.9589","2","1","Song Sparrow"
"10965","2021-08-24","09:53:16","0.980265","1369","1","House Sparrow (female)"
"22501","2021-08-26","09:52:44","0.942177","1412","1","House Sparrow (female)"
"25297","2021-08-28","18:26:03","0.955397","118","1","House Sparrow (female)"
"5258","2021-08-24","08:30:43","0.951254","290","1","Mourning Dove"
"17508","2021-08-26","07:52:06","0.976715","3","1","Mourning Dove"
"25625","2021-08-28","18:47:02","0.927975","5","1","Brown-headed Cowbird (female or juvenile)"
"19215","2021-08-26","08:24:13","0.99839","330","1","Mourning Dove"
"7762","2021-08-24","09:07:35","0.990949","872","1","Mourning Dove"
"22540","2021-08-26","09:53:09","0.914355","1408","1","Ruby-throated Hummingbird"
"3386","2021-08-24","07:54:22","0.964096","291","1","White-breasted Nuthatch"
"1468","2021-08-23","18:43:06","0.989734","568","1","Ruby-throated Hummingbird"
"22001","2021-08-26","09:21:07","0.967703","1099","1","House Sparrow (male)"
"19426","2021-08-26","08:33:37","0.926584","547","1","House Sparrow (female)"
"14159","2021-08-24","11:14:22","0.95035","2126","1","House Sparrow (male)"
"779","2021-08-23","18:20:11","0.942944","247","1","White-breasted Nuthatch"
